File Length , Non-Buffered Time Taken (ns)
130800 , 130902114
85500 , 85911974
72400 , 71922069
157100 , 154725849
126400 , 126144685
176100 , 165790357
130400 , 126775111
158100 , 152027814
62600 , 69737484
82800 , 84195369
198100 , 196553159
33600 , 41671561
25700 , 33893559
188100 , 171949911
400 , 4940399
72700 , 74433021
28500 , 39568477
15700 , 23806591
153800 , 144497164
88500 , 90166114
96000 , 98743009
37300 , 46484334
61300 , 61910238
45900 , 52006758
182800 , 179376994
119100 , 119732561
169600 , 155809643
149000 , 141797511
117800 , 111896921
188400 , 171987844
42800 , 48933524
200 , 11922181
127500 , 125487694
69700 , 73014025
189200 , 182851712
91600 , 90547063
161900 , 150567879
179800 , 186851445
123500 , 116781074
51100 , 50396228
194300 , 185035385
84600 , 87204033
184000 , 169496543
152100 , 149999113
24500 , 35509234
69400 , 78102181
150200 , 146791550
47800 , 56754078
72100 , 75863779
59500 , 117220510
40400 , 41606900
190700 , 178859352
110200 , 137526124
132700 , 135529155
115700 , 112428789
28100 , 36259720
12100 , 17187446
109500 , 103706967
40500 , 39824480
80000 , 77016976
185900 , 171824181
119400 , 115383484
36000 , 43035991
124300 , 115794439
189000 , 175090466
184600 , 175460506
81100 , 81859866
101600 , 95728537
102900 , 96611810
59400 , 59293825
117200 , 117894677
160100 , 147245923
39000 , 49648133
160000 , 146317393
6100 , 11138234
142900 , 141866080
121000 , 116797067
95900 , 92690808
61000 , 64510815
88400 , 83649881
36600 , 42575581
119000 , 118953144
15000 , 27413075
19500 , 24931616
91400 , 89269379
126100 , 117797732
25600 , 33349373
110300 , 100529444
104200 , 105933831
42300 , 42091563
8500 , 18319499
31500 , 39690216
30900 , 33909126
127000 , 112714541
63400 , 61863805
155100 , 147485088
45100 , 52300721
124100 , 122645605
17300 , 29149392
109300 , 114174616
72000 , 85119322
81500 , 77780765
71500 , 72596096
132200 , 124568484
51700 , 49625527
4800 , 18945603
61200 , 70416892
48100 , 53650045
96500 , 87828215
44300 , 44737630
138600 , 138847345
101300 , 96438946
12200 , 22523614
35000 , 37114716
38800 , 41965283
177500 , 163485953
114500 , 115358394
11100 , 17812326
187900 , 182528958
29500 , 38236774
39200 , 44138187
2700 , 9157378
30200 , 32877324
60300 , 62283054
30100 , 35568357
121200 , 115915777
30600 , 33501574
45000 , 50519174
78300 , 85170064
133200 , 121463584
37400 , 49948333
63100 , 59857785
67600 , 72368141
172600 , 159954632
58300 , 71123912
65700 , 67661117
67900 , 61475386
1200 , 9926773
53500 , 58503561
143300 , 134361878
54000 , 57278253
24800 , 34665081
109800 , 113059040
53800 , 52109687
172700 , 167815611
71700 , 75260136
168900 , 158134013
172400 , 157474286
108000 , 104365802
29300 , 37427315
60500 , 60083188
147000 , 145310699
102500 , 101370892
139800 , 134795733
66100 , 62841713
149800 , 135720315
71200 , 74408523
43800 , 45178396
178400 , 165678411
16200 , 26564460
152800 , 138196465
145200 , 136713618
9800 , 14508800
25000 , 29052331
133700 , 130545676
24300 , 32744265
196700 , 205051546
142600 , 147968427
49200 , 52709580
41600 , 41715555
84400 , 86821333
152500 , 141462955
143400 , 146946274
166300 , 163977664
166400 , 148547730
145100 , 150054461
5200 , 12917890
