String Length , Time Taken (ns)
135000 , 1328926856
135100 , 1323227680
135200 , 1329966792
135300 , 1318420266
135400 , 1316870591
135500 , 1328977496
135600 , 1332580400
135700 , 1336709583
135800 , 1334473229
135900 , 1331030477
136000 , 1335124197
136100 , 1347755952
136200 , 1337700413
136300 , 1349449238
136400 , 1373442373
136500 , 1420697666
136600 , 1357353014
136700 , 1350953609
136800 , 1348475636
136900 , 1362898532
137000 , 1384560065
137100 , 1359507837
137200 , 1384562558
137300 , 1610107485
137400 , 1570179449
137500 , 1525482326
137600 , 1479547700
137700 , 1455616616
137800 , 1410248236
137900 , 1405556109
138000 , 1339112100
138100 , 1329689005
138200 , 1326962324
138300 , 1341040251
138400 , 1311097241
138500 , 1325773875
138600 , 1340833098
138700 , 1337083354
138800 , 1338181306
138900 , 1345069754
139000 , 1350164133
139100 , 1337560539
139200 , 1346142027
139300 , 1349245543
139400 , 1342710099
139500 , 1359717539
139600 , 1345935920
139700 , 1355928699
139800 , 1356528242
139900 , 1361903654
140000 , 1349493338
140100 , 1351771472
140200 , 1346964316
140300 , 1352084624
140400 , 1364467335
140500 , 1361590060
140600 , 1370034533
140700 , 1368114828
140800 , 1369617907
140900 , 1378494314
141000 , 1387287301
141100 , 1371267687
141200 , 1381837079
141300 , 1373748019
141400 , 1374520770
141500 , 1399230854
141600 , 1374485077
141700 , 1391545744
141800 , 1382338278
141900 , 1392876532
142000 , 1400608363
142100 , 1396027954
142200 , 1394143519
142300 , 1402045390
142400 , 1397698824
142500 , 1417252412
142600 , 1398745420
142700 , 1399058259
142800 , 1411004394
142900 , 1411443730
143000 , 1422153147
143100 , 1423779887
143200 , 1418205296
143300 , 1432639430
143400 , 1423268431
143500 , 1418674499
143600 , 1426422375
143700 , 1438419399
143800 , 1431836260
143900 , 1429012326
144000 , 1434221246
144100 , 1435487917
144200 , 1448858070
144300 , 1441266003
144400 , 1428704696
144500 , 1439794041
144600 , 1465333270
144700 , 1441199185
144800 , 1443792216
144900 , 1452591069
145000 , 1457631137
145100 , 1452109120
145200 , 1460589153
145300 , 1460880962
145400 , 1464284889
145500 , 1476090425
145600 , 1478030955
145700 , 1474439032
145800 , 1465079918
145900 , 1470688887
146000 , 1479229797
146100 , 1478652703
146200 , 1487342118
146300 , 1474893605
146400 , 1485322286
146500 , 1494257099
146600 , 1501655274
146700 , 1487935666
146800 , 1487356373
146900 , 1491816231
147000 , 1496627764
147100 , 1486955068
147200 , 1503803946
147300 , 1505162665
147400 , 1658880052
147500 , 1590666289
147600 , 1694892006
147700 , 1988300775
147800 , 1900615653
147900 , 1632851368
148000 , 1616050387
148100 , 1602591342
148200 , 1596858769
148300 , 1615560358
148400 , 1599954274
148500 , 1596680711
148600 , 1610031651
148700 , 1594419277
148800 , 1605049675
148900 , 1615500993
149000 , 1632610280
149100 , 1675831858
149200 , 1632222543
149300 , 1649785397
149400 , 1621873928
149500 , 1616952739
149600 , 1621978216
149700 , 1614749771
149800 , 1622637457
149900 , 1626812453
150000 , 1641614115
150100 , 1630372159
150200 , 1629959767
150300 , 1645393741
150400 , 1649029703
150500 , 1646343144
150600 , 1685630462
150700 , 1649130081
150800 , 1658178978
150900 , 1667703281
151000 , 1657830010
151100 , 1644164249
